table,rows,hasModel,callers,component,emptyClass,compClass,refCols
Achievements,1067,true,7,main,,,templateId
BadgeCollections,0,false,3,main,unmodelled,,
Badges,0,true,6,main,modelled-called,,collectionId
ComebackChallenges,0,false,0,main,unmodelled,,userId
CommunicationDrafts,0,true,2,main,modelled-called,,clientId|trainerId
Communities,0,true,0,main,modelled-uncalled,,
EnhancedSocialPosts,0,true,3,main,modelled-called,,userId|communityId|workoutSessionId|challengeId|achievementId|originalPostId
EventAttendances,1,true,0,detached(1),,drift-suspect,eventId|userId|amountPaid
Exercises,916,true,22,main,,,
FactionMemberships,0,true,0,detached(2),modelled-uncalled,drift-suspect,userId|factionId
Factions,3,true,1,detached(2),,truly-isolated,
Friendships,2,true,2,main,,,requesterId|recipientId
GamificationSettings,1,true,4,detached(1),,truly-isolated,
Gamifications,1,false,3,main,,,userId
Hashtags,8,true,1,main,,,
Milestones,0,true,2,main,modelled-called,,
ModerationActions,0,true,1,main,modelled-called,,moderatorId|contentId|contentAuthorId|relatedReportId
Parties,0,true,1,detached(2),modelled-called,app-ref,leaderId
PartyMembers,0,true,0,detached(2),modelled-uncalled,drift-suspect,partyId|userId
PointTransactions,9,false,5,main,,,userId|sourceId
PostHashtags,4,true,2,main,,,postId|hashtagId
PostReports,0,true,4,main,modelled-called,,reporterId|contentId|contentAuthorId
Rewards,0,true,5,main,modelled-called,,
SequelizeMeta,372,false,9,detached(1),,truly-isolated,
SocialComments,0,true,5,main,modelled-called,,postId|userId|parentCommentId
SocialConnections,0,true,0,main,modelled-uncalled,,followerId|followingId
SocialEvents,1,true,0,detached(1),,drift-suspect,organizerId|communityId|workoutPlanId|challengeId
SocialGroupMembers,0,true,1,main,modelled-called,,groupId|userId
SocialGroups,0,true,3,main,modelled-called,,ownerId|conversationId
SocialLikes,14,true,5,main,,,userId|targetId
SocialPosts,2,true,9,main,,,userId|achievementId|userAchievementId|challengeId|originalPostId|groupId|workoutSessionId
UserAchievements,0,true,9,main,modelled-called,,achievementId|userId
UserBadges,0,false,5,main,unmodelled,,userId|badgeId
UserHashtagFollows,0,true,0,main,modelled-uncalled,,userId|hashtagId
UserMilestones,0,false,3,main,unmodelled,,userId|milestoneId
UserRewards,0,false,3,main,unmodelled,,userId|rewardId
Users,7,true,66,main,,,stripeCustomerId
WearableData,0,true,1,main,modelled-called,,userId|deviceId
_dead_WorkoutPlans_20260803,0,false,0,main,unmodelled,,userId
_dead_WorkoutSessions_20260803,0,false,0,main,unmodelled,,userId|workoutPlanId|workoutPlanDayId
_dead_users_20260803,9,false,0,detached(1),,truly-isolated,
_v3b3_seeder_log,32,false,0,detached(1),,truly-isolated,
achievement_crystallizations,0,false,3,main,unmodelled,,userId|achievementId
acquisition_events,239,true,1,detached(1),,truly-isolated,
admin_account_audit_logs,6,true,0,main,,,actorUserId|targetUserId
admin_notifications,0,true,1,main,modelled-called,,userId|transactionId
admin_settings,2,true,2,detached(1),,truly-isolated,
admin_specials,0,true,1,main,modelled-called,,
ai_command_audit_logs,20,true,0,main,,,userId|targetClientId|operationId
ai_consent_logs,13,true,0,main,,,userId|sourceId|actorUserId
ai_conversations,94,true,1,main,,,userId|targetUserId
ai_interaction_logs,6,true,2,main,,,userId
ai_metrics_bucket_users,28,false,1,detached(2),,drift-suspect,bucketId|userId
ai_metrics_buckets,28,true,1,detached(2),,truly-isolated,
ai_monitoring_alerts,6,true,0,detached(1),,truly-isolated,
ai_privacy_profiles,1,true,1,main,,,userId
auth_identities,0,true,0,main,modelled-uncalled,,userId
automation_logs,3,true,2,main,,,sequenceId|userId|leadId
automation_sequences,4,true,0,main,,,
avatar_homes,1,true,0,main,,,userId|factionId
body_map_evidence,0,true,0,main,modelled-uncalled,,painEntryId|userId|uploadedById|reviewedById
body_measurements,6,true,7,main,,,userId
bootcamp_class_log,1,true,1,main,,,templateId|trainerId
bootcamp_exercises,225,true,0,main,,,templateId|stationId|supersetGroupId|exerciseLibraryId
bootcamp_overflow_plans,0,true,0,main,modelled-uncalled,,templateId
bootcamp_space_profiles,0,true,1,main,modelled-called,,trainerId
bootcamp_sprints,0,true,0,main,modelled-uncalled,,trainerId|spaceProfileId|previousSprintId
bootcamp_stations,21,true,1,main,,,templateId
